model,size,N,h,solver,sampler,cem,rbm,n_hidden,lr,reg,seed,sigma,n_samples,total_iters,conv_iter,converged,distance_at_conv,exact_energy_per_spin,energy_at_conv,avg_sampling_time_s,mean_sampling_time_all_s,distance_final,final_kl_exact,final_ess,time_to_conv_s,time_total_s
2d,10,100,0.5,gibbs,custom,False,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,,,-0.6033688737400389,0.04008383061736822,0.047387052786846955,,,0.179962723593444,13.268374780317147,14.216115836054087
2d,10,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,59,True,,,-2.029142878614981,0.047606738097965715,0.05282722294330597,,,0.683457115658453,3.116806153655052,15.84816688299179
2d,10,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,62,True,,,-2.02913030173944,0.044694901630282405,0.04577841607232889,,,0.604704805935214,2.838261796484391,13.733524821698666
2d,10,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,63,True,,,-2.0273800156216657,0.042919517122209074,0.04560908686369657,,,0.63819997756626,2.873372472412884,13.682726059108973
2d,10,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,61,True,,,-2.0291670922745273,0.04527643099427223,0.04567429708937804,,,0.603249483305933,2.7861321224520608,13.702289126813413
2d,10,100,0.5,gibbs,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,60,True,,,-2.0290425588964407,0.047119544446468355,0.045201219754914444,,,0.6497199389828643,2.7120731852948667,13.560365926474333
2d,10,100,1.0,gibbs,custom,False,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,,,-1.0951459226726432,0.038248082250356676,0.042455041110515596,,,0.3558007838559598,11.887411510944366,12.736512333154678
2d,10,100,1.0,gibbs,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,62,True,,,-2.1232065127837543,0.04654151741415262,0.04672020877401034,,,0.23234899318884925,2.896652943988641,14.016062632203102
2d,10,100,1.0,gibbs,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,66,True,,,-2.1227942059874216,0.04482925329357386,0.047227145060896876,,,0.2248132908585991,3.116991574019194,14.168143518269062
2d,10,100,1.0,gibbs,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,61,True,,,-2.1231548388519768,0.043964996561408044,0.04631747659295797,,,0.22231141149839267,2.825366072170436,13.895242977887392
2d,10,100,1.0,gibbs,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,61,True,,,-2.123122258766941,0.04904304724186659,0.04687932488818963,,,0.2078040076203514,2.8596388181795676,14.06379746645689
2d,10,100,1.0,gibbs,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,64,True,,,-2.123257920346089,0.04616147745400667,0.047490285560488704,,,0.19079147358427698,3.039378275871277,14.247085668146612
2d,10,100,2.0,gibbs,custom,False,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,,,-2.0811547277829647,0.0423924908041954,0.04361227824042241,,,0.2793241805435198,12.211437907318274,13.083683472126722
2d,10,100,2.0,gibbs,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,72,True,,,-2.5037922066084244,0.048205314017832276,0.046899897418916224,,,0.0018355905609532706,3.376792614161968,14.069969225674868
2d,10,100,2.0,gibbs,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,77,True,,,-2.5035054442882982,0.04863290693610907,0.04699475112060706,,,0.003176418176380527,3.618595836286744,14.098425336182117
2d,10,100,2.0,gibbs,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,71,True,,,-2.5029526214292277,0.04323595501482487,0.047055298661192256,,,0.0041111271288007565,3.34092620494465,14.116589598357677
2d,10,100,2.0,gibbs,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,74,True,,,-2.5038156622846803,0.04880671799182892,0.04737782068550587,,,0.0017242121475456727,3.5059587307274342,14.21334620565176
2d,10,100,2.0,gibbs,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,71,True,,,-2.504034429351252,0.04439765531569719,0.04768620854864518,,,0.0027713482002802515,3.385720806953808,14.305862564593554
2d,10,100,3.044,gibbs,custom,False,full,100,0.0003,1e-05,1,1.0,1000,300,45,True,,,-3.0568192347240863,0.040310394018888474,0.04268702714393536,,,0.40343315186875306,1.9209162214770912,12.806108143180607
2d,10,100,3.044,gibbs,custom,False,full,100,0.01,1e-05,1,1.0,1000,300,45,True,,,-3.199823617003967,0.045561200194060805,0.04699520748108625,,,0.003167325978106392,2.1147843366488814,14.098562244325876
2d,10,100,3.044,gibbs,custom,False,full,100,0.01,1e-05,2,1.0,1000,300,54,True,,,-3.2028353605290283,0.043660081923007965,0.04631285231560469,,,0.002780752436088361,2.5008940250426535,13.893855694681408
2d,10,100,3.044,gibbs,custom,False,full,100,0.01,1e-05,3,1.0,1000,300,56,True,,,-3.2046312729934727,0.04148783553391695,0.046220358510812125,,,0.004688273085956708,2.588340076605479,13.866107553243637
2d,10,100,3.044,gibbs,custom,False,full,100,0.01,1e-05,4,1.0,1000,300,46,True,,,-3.199286018473639,0.04447755366563797,0.04643646188080311,,,0.0023548974818123776,2.136077246516943,13.930938564240932
2d,10,100,3.044,gibbs,custom,False,full,100,0.01,1e-05,5,1.0,1000,300,42,True,,,-3.1983162297848646,0.04287312906235456,0.04525858938694,,,0.002381003921921705,1.9008607542514802,13.577576816082
2d,10,100,0.5,lsb,custom,True,full,100,0.0003,1e-05,1,1.0,1000,300,280,False,,,-1.2583968161129042,0.052026976458728315,0.051136633406082786,,,0.014494689275454754,14.31825735370318,15.340990021824837
2d,10,100,0.5,lsb,custom,True,full,100,0.01,1e-05,1,1.0,1000,300,200,True,,,-2.0260649595471123,0.05233041495084763,0.05156532672544321,,,0.9124586670197012,10.313065345088642,15.469598017632961
